City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Hay River,CA,60.8156,-115.7999,51.78,82,40,5.75,scattered clouds
324,Tongliao,CN,43.6125,122.2653,86.59,53,100,4.92,overcast clouds
325,Riyadh,SA,24.6877,46.7219,113.05,9,0,19.57,clear sky
326,Villa Carlos Paz,AR,-31.4241,-64.4978,42.39,83,0,3.53,clear sky
327,Cherskiy,RU,68.75,161.3,46.83,60,0,16.31,clear sky
328,Inhumas,BR,-16.3578,-49.4961,63.27,57,4,4.83,clear sky
329,Guerrero Negro,MX,27.9769,-114.0611,67.23,85,30,10.16,scattered clouds
330,Macenta,GN,8.5435,-9.471,69.69,98,100,2.95,overcast clouds
331,Belorechensk,RU,44.76,39.87,90.32,34,2,20.56,clear sky
332,Dingle,PH,10.9995,122.6711,83.01,77,98,14.76,overcast clouds
333,Aconibe,GQ,1.2968,10.9369,73.8,74,96,2.95,overcast clouds
334,Guane,CU,22.2025,-84.0875,75.78,91,61,2.3,broken clouds
335,Camocim,BR,-2.9022,-40.8411,73.74,86,99,12.57,overcast clouds
336,Olhao,PT,37.0286,-7.8411,73.29,68,75,8.05,broken clouds
337,Virginia Beach,US,36.8529,-75.978,78.87,84,40,8.05,scattered clouds
338,Madras,IN,13.0878,80.2785,96.78,49,40,11.5,scattered clouds
339,Tandalti,SD,13.0167,31.8667,78.53,69,98,13.8,overcast clouds
340,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,91,40,14.97,scattered clouds
341,Cedar City,US,37.6775,-113.0619,69.4,62,1,6.91,clear sky
342,Yima,CN,34.7381,111.8839,86.74,62,49,4.27,light rain
343,Aklavik,CA,68.2191,-135.0107,52.63,90,100,1.86,overcast clouds
